"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 19 15:54:48 CST 2022","Sun Jun 19 15:54:48 CST 2022","70","TestCases","test_add","TestAdd","","","加标失败—标题为空",""
"passed","Sun Jun 19 15:54:49 CST 2022","Sun Jun 19 15:54:49 CST 2022","57","TestCases","test_add","TestAdd","","","加标失败—借款期限类型为空",""
"passed","Sun Jun 19 15:54:49 CST 2022","Sun Jun 19 15:54:49 CST 2022","77","TestCases","test_add","TestAdd","","","加标失败—借款金额为负数",""
"passed","Sun Jun 19 15:54:48 CST 2022","Sun Jun 19 15:54:48 CST 2022","74","TestCases","test_add","TestAdd","","","加标失败—借款人id为空",""
"passed","Sun Jun 19 15:54:51 CST 2022","Sun Jun 19 15:54:53 CST 2022","1086","TestCases.TestCases_Business","test_user_business","TestUserBusiness","","","充值",""
"passed","Sun Jun 19 15:54:49 CST 2022","Sun Jun 19 15:54:49 CST 2022","83","TestCases","test_add","TestAdd","","","加标失败—竞标天数为空",""
"passed","Sun Jun 19 15:54:48 CST 2022","Sun Jun 19 15:54:48 CST 2022","71","TestCases","test_add","TestAdd","","","加标失败—年利率为空",""
"passed","Sun Jun 19 15:54:48 CST 2022","Sun Jun 19 15:54:48 CST 2022","195","TestCases","test_add","TestAdd","","","加标成功",""
"passed","Sun Jun 19 15:54:49 CST 2022","Sun Jun 19 15:54:49 CST 2022","72","TestCases","test_add","TestAdd","","","加标失败—借款金额为小数",""
"passed","Sun Jun 19 15:54:48 CST 2022","Sun Jun 19 15:54:48 CST 2022","58","TestCases","test_add","TestAdd","","","加标失败—借款金额为空",""
"passed","Sun Jun 19 15:54:49 CST 2022","Sun Jun 19 15:54:50 CST 2022","1091","TestCases.TestCases_Business","test_user_business","TestUserBusiness","","","注册",""
"passed","Sun Jun 19 15:54:48 CST 2022","Sun Jun 19 15:54:48 CST 2022","67","TestCases","test_add","TestAdd","","","前置操作 - 管理员登陆",""
"passed","Sun Jun 19 15:54:49 CST 2022","Sun Jun 19 15:54:49 CST 2022","0","TestCases","test_login","TestLogin","","","登录成功",""
"passed","Sun Jun 19 15:54:49 CST 2022","Sun Jun 19 15:54:49 CST 2022","94","TestCases","test_add","TestAdd","","","前置操作 -普通用户登陆",""
"passed","Sun Jun 19 15:54:49 CST 2022","Sun Jun 19 15:54:49 CST 2022","70","TestCases","test_add","TestAdd","","","加标失败—借款人id不是当前登录用户",""
"passed","Sun Jun 19 15:54:50 CST 2022","Sun Jun 19 15:54:51 CST 2022","1089","TestCases.TestCases_Business","test_user_business","TestUserBusiness","","","登录",""
"passed","Sun Jun 19 15:54:49 CST 2022","Sun Jun 19 15:54:49 CST 2022","0","TestCases","test_login","TestLogin","","","登录失败",""
"passed","Sun Jun 19 15:54:48 CST 2022","Sun Jun 19 15:54:49 CST 2022","75","TestCases","test_add","TestAdd","","","加标失败—借款期限为空",""
